State_Name,County,Type,ALand,Median
Alabama,Autauga County,Track,5052075,300000
Alabama,Autauga County,Track,5844507,31912
Alabama,Autauga County,Track,3121070,29294
Alabama,Autauga County,Track,3709019,22640
Alabama,Autauga County,Track,7270672,96944
Alabama,Autauga County,Track,10571245,31702
Alabama,Autauga County,Track,552077223,36873
Alabama,Autauga County,Track,9503322,54777
Alabama,Autauga County,Track,72008073,300000
Alabama,Autauga County,Track,5672910,28065
Alabama,Autauga County,Track,14911832,125792
Alabama,Autauga County,Track,2372259,300000
Alabama,Autauga County,Track,18852505,99257
Alabama,Autauga County,Track,5475910,300000
Alabama,Autauga County,Track,8442565,73460
Alabama,Autauga County,Track,385289932,21249
Alabama,Autauga County,Track,7325894,36619
Alabama,Autauga County,Track,8002141,23740
Alabama,Autauga County,Track,5708780,49578
Alabama,Autauga County,Track,2544143,30715
Alabama,Autauga County,Track,7715233,41789
Alabama,Autauga County,Track,8402134,31079
Alabama,Autauga County,Track,80519151,57511
Alabama,Autauga County,Track,168808472,41084
Alabama,Autauga County,Track,247422337,36191
Alabama,Autauga County,Track,620129645,300000
Alabama,Autauga County,Track,286698885,29581
Alabama,Autauga County,Track,390834113,15337
Alabama,Autauga County,Track,3605024,23017
Alabama,Autauga County,Track,342666857,39745
Alabama,Autauga County,Track,64845109,30309
Alabama,Autauga County,Track,356623311,40935
Alabama,Autauga County,Track,180027927,49691
Alabama,Autauga County,Track,1523115,23200
Alabama,Autauga County,Track,6146699,34531
Alabama,Autauga County,Track,62539017,24661
Alabama,Autauga County,Track,446860783,22642
Alabama,Autauga County,Track,84609138,300000
Alabama,Autauga County,Track,47375621,54496
Alabama,Autauga County,Track,1778286,15353
Alabama,Autauga County,Track,206142024,44569
Alabama,Autauga County,Track,145753222,61358
Alabama,Autauga County,Track,9616603,52591
Alabama,Autauga County,Track,28629556,123216
Alabama,Autauga County,Track,10958163,300000
Alabama,Autauga County,Track,13760163,300000
Alabama,Autauga County,Track,5406206,38790
Alabama,Autauga County,Track,8431021,111108
Alabama,Autauga County,Track,34128010,61078
Alabama,Autauga County,Track,27731854,61618
Alabama,Autauga County,Track,2232730,20635
Alabama,Autauga County,Track,25138481,300000
Alabama,Autauga County,Track,109919048,110344
Alabama,Autauga County,Track,124675796,54838
Alabama,Autauga County,Track,536090556,23681
Alabama,Autauga County,Track,81129130,59257
Alabama,Autauga County,Track,110181078,48211
Alabama,Autauga County,Track,6640370,300000
Alabama,Autauga County,Track,61685490,13928
Alabama,Autauga County,Track,83495162,300000
Alabama,Autauga County,Track,8089204,38497
Alabama,Autauga County,Track,743007,13490
Alabama,Autauga County,Track,28825056,31306
Alabama,Autauga County,Track,311017327,53384
Alabama,Autauga County,Track,147998867,65949
Alabama,Autauga County,Track,27958537,300000
Alabama,Autauga County,Track,28237157,75235
Alabama,Autauga County,Track,169522816,45486
Alabama,Autauga County,Track,11076669,107411
Alabama,Autauga County,Track,410573152,43725
Alabama,Autauga County,Track,255828991,51483
Alabama,Autauga County,Track,5992844,39959
Alabama,Autauga County,Track,7956342,44414
Alabama,Autauga County,Track,1704451,24484
Alabama,Autauga County,Track,1868964,25211
Alabama,Autauga County,Track,12325885,47824
Alabama,Autauga County,Track,5143284,30584
Alabama,Autauga County,Track,6641779,36678
Alabama,Autauga County,Track,30020181,54429
Alabama,Autauga County,Track,39418578,35721
Alabama,Autauga County,Track,153528165,21826
Alabama,Autauga County,Track,447906545,32579
Alabama,Autauga County,Track,114531672,46017
Alabama,Autauga County,Track,2076635,24378
Alabama,Autauga County,Track,94852443,31524
Alabama,Autauga County,Track,603093386,28999
Alabama,Autauga County,Track,445513253,18681
Alabama,Autauga County,Track,973585771,23205
Alabama,Autauga County,Track,517008078,27636
Alabama,Autauga County,Track,471342813,36936
Alabama,Autauga County,Track,184358361,20436
Alabama,Autauga County,Track,3372196,64476
Alabama,Autauga County,Track,12786477,32289
Alabama,Autauga County,Track,7511055,66976
Alabama,Autauga County,Track,40159982,53139
Alabama,Autauga County,Track,56885352,42042
Alabama,Autauga County,Track,26558605,44282
Alabama,Autauga County,Track,12429198,133231
Alabama,Autauga County,Track,4006150,27480
Alabama,Autauga County,Track,34033783,91182
Alabama,Autauga County,Track,18071006,110028
Alabama,Autauga County,Track,691793540,41379
Alabama,Autauga County,Track,8653066,28315
Alabama,Autauga County,Track,123190580,47811
Alabama,Autauga County,Track,117628141,34892
Alabama,Autauga County,Track,2907181,24321
Alabama,Autauga County,Track,8020338,61166
Alabama,Autauga County,Track,4310558,22207
Alabama,Autauga County,Track,165626066,39086
Alabama,Autauga County,Track,10362596,35092
Alabama,Autauga County,Track,408826352,17354
Alabama,Autauga County,Track,7583956,28544
Alabama,Autauga County,Track,1995502,33121
Alabama,Autauga County,Track,203716769,46471
Alabama,Autauga County,Track,2365766,25216
Alabama,Autauga County,Track,2259086,66704
Alabama,Autauga County,Track,5765482,80758
Alabama,Autauga County,Track,108073369,69213
Alabama,Autauga County,Track,12924198,109549
Alabama,Autauga County,Track,10927370,93741
Alabama,Autauga County,Track,286336268,33640
Alabama,Autauga County,Track,154499292,38275
Alabama,Autauga County,Track,43587610,29075
Alabama,Autauga County,Track,1589550,15085
Alabama,Autauga County,Track,352261684,42042
Alabama,Autauga County,Track,1043100,42454
Alabama,Autauga County,Track,5320481,36369
Alabama,Autauga County,Track,3193386,20142
Alabama,Autauga County,Track,5552352,73032
Alabama,Autauga County,Track,1900631,0
Alabama,Autauga County,Track,7475705,62620
Alabama,Autauga County,Track,981169,20116
Alabama,Autauga County,Track,25915097,44787
Alabama,Autauga County,Track,8957994,56706
Alabama,Autauga County,Track,17212873,32163
Alabama,Autauga County,Track,12116269,40580
Alabama,Autauga County,Track,1748287,19718
Alabama,Autauga County,Track,427194441,26777
Alabama,Autauga County,Track,3561874,14709
Alabama,Autauga County,Track,3213699,38772
Alabama,Autauga County,Track,10571245,19480
Alabama,Autauga County,Track,3690069,34723
Alabama,Autauga County,Track,9905497,24891
Alabama,Autauga County,Track,322817898,32820
Alabama,Autauga County,Track,5750081,14550
Alabama,Autauga County,Track,4144053,63155
Alabama,Autauga County,Track,41129558,43854
Alabama,Autauga County,Track,247422337,47202
Alabama,Autauga County,Track,936899340,23175
Alabama,Autauga County,Track,259326168,41874
Alabama,Autauga County,Track,20360276,30117
Alaska,Kusilvak Census Area,City,76485032,33347
Alaska,Denali Borough,City,113285111,300000
Alaska,North Slope Borough,City,48786920,78124
Alaska,Northwest Arctic Borough,City,3640031,59795
Alaska,Kusilvak Census Area,City,2562639,41718
Alaska,Bethel Census Area,City,8976837,44853
Alaska,Valdez-Cordova Census Area,CDP,32391024,38571
Alaska,Dillingham Census Area,City,86946428,62878
Alaska,Fairbanks North Star Borough,CDP,76750273,56650
Alaska,Aleutians East Borough,City,69890025,300000
Alaska,Kenai Peninsula Borough,CDP,324760949,59124
Alaska,Fairbanks North Star Borough,CDP,222739445,300000
Alaska,Denali Borough,CDP,1779228859,91135
Alaska,Yukon-Koyukuk Census Area,City,7799108,33763
Alaska,North Slope Borough,City,1869960,45810
Alaska,Northwest Arctic Borough,City,482353,41209
Alaska,Kodiak Island Borough,City,9003031,60544
Alaska,Bethel Census Area,City,26047286,44147
Alaska,Ketchikan Gateway Borough,CDP,1434002,0
Alaska,Bethel Census Area,City,16491474,24491
Alaska,Haines Borough,CDP,31359224,300000
Alaska,Yukon-Koyukuk Census Area,CDP,6350272,27223
Alaska,Northwest Arctic Borough,CDP,41968766,51784
Alaska,Kusilvak Census Area,City,31421019,300000
Alaska,Petersburg Borough,CDP,114295601,66964
Alaska,Matanuska-Susitna Borough,CDP,395024280,84804
Alaska,Prince of Wales-Hyder Census Area,CDP,9645413,26943
Alaska,Aleutians West Census Area,City,90002615,300000
Alaska,Northwest Arctic Borough,City,7582133,43243
Alaska,Skagway Municipality,CDP,24478109,69886
Alaska,Yukon-Koyukuk Census Area,CDP,30141336,17126
Alaska,Yukon-Koyukuk Census Area,City,28595093,45813
Alaska,Valdez-Cordova Census Area,CDP,117291576,0
Alaska,Nome Census Area,City,9411703,64415
Alaska,Southeast Fairbanks Census Area,CDP,18298887,300000
Alaska,Aleutians East Borough,Track,12523988591,86630
Alaska,Aleutians East Borough,Track,60735993529,50708
Alaska,Aleutians East Borough,Track,55682951,82973
Alaska,Aleutians East Borough,Track,18404160,86266
Alaska,Aleutians East Borough,Track,91632669709,45462
Alaska,Aleutians East Borough,Track,46851045720,45144
Alaska,Aleutians East Borough,Track,81773510673,40060
Alaska,Aleutians East Borough,Track,2494426,53765
Alaska,Aleutians East Borough,Track,168793575,300000
Alaska,Aleutians East Borough,Track,14753110,105321
Alaska,Aleutians East Borough,Track,2371512,40752
Alaska,Aleutians East Borough,Track,1979230,54003
Alaska,Aleutians East Borough,Track,2936374,300000
Alaska,Aleutians East Borough,Track,2338007,300000
Alaska,Aleutians East Borough,Track,1749931,31880
Alaska,Aleutians East Borough,Track,2720664,300000
Alaska,Aleutians East Borough,Track,3335293,300000
Alaska,Aleutians East Borough,Track,4978010,73337
Alaska,Aleutians East Borough,Track,2163759,84964
Alaska,Aleutians East Borough,Track,2525341,300000
Alaska,Aleutians East Borough,Track,1748053,83403
Alaska,Aleutians East Borough,Track,4483867,59794
Alaska,Aleutians East Borough,Track,1612672,300000
Alaska,Aleutians East Borough,Track,50814201,115283
Alaska,Aleutians East Borough,Track,4184086,79940
Alaska,Aleutians East Borough,Track,4577740,84689
Alaska,Aleutians East Borough,Track,2731183,65511
Alaska,Aleutians East Borough,Track,7416313,300000
Alaska,Aleutians East Borough,Track,1978662,300000
Alaska,Aleutians East Borough,Track,1612672,58231
Alaska,Aleutians East Borough,Track,3601953,138010
Alaska,Aleutians East Borough,Track,1404917227,300000
Alaska,Aleutians East Borough,Track,567034388,72540
Alaska,Aleutians East Borough,Track,409651993,72645
Alaska,Aleutians East Borough,Track,3313124,45653
Alaska,Aleutians East Borough,Track,4661153,300000
Alaska,Aleutians East Borough,Track,37463502,66143
Alaska,Aleutians East Borough,Track,81642676,300000
Alaska,Aleutians East Borough,Track,127539635,82163
Alaska,Aleutians East Borough,Track,10793443952,70536
Alaska,Aleutians East Borough,Track,2731183,94845
Alaska,Aleutians East Borough,Track,16962765542,54682
Alaska,Aleutians East Borough,Track,7489229,78817
Alaska,Aleutians East Borough,Track,4928827968,67934
Alaska,Aleutians East Borough,Track,4422858736,75180
Alaska,Aleutians East Borough,Track,74051354,60259
Alaska,Aleutians East Borough,Track,1502551013,42495
Alaska,Aleutians East Borough,Track,521288307,71183
Alaska,Aleutians East Borough,Track,13478407,64332
Alaska,Aleutians East Borough,Track,16864705570,80106
Alaska,Aleutians East Borough,Track,44240303738,40341
Alaska,Aleutians East Borough,Track,85707800,300000
Alaska,Aleutians East Borough,Track,392213426,79780
Alaska,Aleutians East Borough,Track,55682951,78817
Alaska,Aleutians East Borough,Track,137183317,78819
Alaska,Aleutians East Borough,Track,12673363,77579
Alaska,Aleutians East Borough,Track,409022670,83667
Alaska,Aleutians East Borough,Track,1908739435,86030
Alaska,Aleutians East Borough,Track,91632669709,42202
Alaska,Aleutians East Borough,Track,7556529587,66727
Alaska,Aleutians East Borough,Track,343946421,48663
Alaska,Aleutians East Borough,Track,17109651,59519
Alaska,Aleutians East Borough,Track,4544912,41445
Alaska,Aleutians East Borough,Track,63955230470,32182
Alaska,Aleutians East Borough,Track,11061417352,87924
Alaska,Aleutians East Borough,Track,87632823349,29945
Alaska,Aleutians East Borough,Track,9185110,97257
Alaska,Aleutians East Borough,Track,63667440,300000
Alaska,Aleutians East Borough,Track,16962765542,54083
Alaska,Aleutians East Borough,Track,5013807116,70749
Arizona,Pima County,CDP,1996741,11622
Arizona,Pinal County,CDP,15901047,43020
Arizona,Mohave County,CDP,21799318,45147
Arizona,Cochise County,CDP,4393141,32050
Arizona,Coconino County,CDP,48495778,34601
Arizona,Pima County,CDP,36546383,50113
Arizona,Navajo County,CDP,61541732,16974
Arizona,Mohave County,CDP,8604897,300000
Arizona,Gila County,CDP,19032541,300000
